,Objective,Time,Ratio
0,-114743112.31431508,24,0.9999999999913876
1,-114743112.31376812,25,0.9999999999866207
2,-114743112.31386597,32,0.9999999999874736
3,-114743112.31329833,32,0.9999999999825265
4,-114743112.31443144,27,0.9999999999924017
5,-114743112.31358145,26,0.9999999999849939
6,-114743112.31470373,24,0.9999999999947747
7,-114743112.31443362,35,0.9999999999924206
8,-114743112.3138873,36,0.9999999999876594
9,-114743112.31393474,32,0.9999999999880729
10,-114743112.31436081,36,0.9999999999917861
11,-114743112.31392324,35,0.9999999999879726
12,-114743112.31448144,25,0.9999999999928374
13,-114743112.31390901,31,0.9999999999878486
14,-114743112.3153033,32,1.0
15,-114743112.3132072,31,0.9999999999817322
16,-114743112.31392458,36,0.9999999999879843
17,-114743112.31436081,31,0.9999999999917861
18,-114743112.31384158,38,0.999999999987261
19,-114743112.31409235,33,0.9999999999894464
20,-114743112.31420928,29,0.9999999999904655
21,-114743112.31435506,35,0.999999999991736
22,-114743112.31399962,34,0.9999999999886383
23,-114743112.31436081,34,0.9999999999917861
24,-114743112.31422259,34,0.9999999999905815
25,-114743112.31436081,35,0.9999999999917861
26,-114743112.31449145,32,0.9999999999929247
27,-114743112.3143595,30,0.9999999999917747
28,-114743112.31385726,37,0.9999999999873976
29,-114743112.31473523,33,0.9999999999950493
30,-114743112.31435286,33,0.9999999999917168
31,-114743112.31398435,28,0.9999999999885052
32,-114743112.31426653,32,0.9999999999909644
33,-114743112.31369056,35,0.9999999999859448
34,-114743112.31336704,20,0.9999999999831253
35,-114743112.31375872,33,0.9999999999865388
36,-114743112.31365839,35,0.9999999999856645
37,-114743112.31383523,33,0.9999999999872057
38,-114743112.31395386,32,0.9999999999882395
39,-114743112.31421544,33,0.9999999999905191
40,-114743112.31392458,39,0.9999999999879843
41,-114743112.31386772,31,0.9999999999874888
42,-114743112.31429096,31,0.9999999999911773
43,-114743112.31357238,20,0.9999999999849148
44,-114743112.3142854,31,0.9999999999911289
45,-114743112.31381504,35,0.9999999999870297
46,-114743112.31439702,32,0.9999999999921018
47,-114743112.31386228,24,0.9999999999874414
48,-114743112.313796,29,0.9999999999868637
49,-114743112.31386346,35,0.9999999999874516
50,-114743112.31381693,35,0.9999999999870461
51,-114743112.31419855,40,0.999999999990372
52,-114743112.31436081,35,0.9999999999917861
53,-114743112.31474121,39,0.9999999999951014
54,-114743112.31379333,39,0.9999999999868405
55,-114743112.31431524,35,0.999999999991389
56,-114743112.31384964,24,0.9999999999873312
57,-114743112.31438474,33,0.9999999999919947
58,-114743112.31384385,33,0.9999999999872807
59,-114743112.31427687,37,0.9999999999910546
60,-114743112.31432797,29,0.9999999999914999
61,-114743112.31440149,37,0.9999999999921406
62,-114743112.31448758,36,0.9999999999928909
63,-114743112.31418954,29,0.9999999999902934
64,-114743112.31477834,32,0.999999999995425
65,-114743112.31387171,32,0.9999999999875235
66,-114743112.31440812,30,0.9999999999921985
67,-114743112.31425177,37,0.9999999999908358
68,-114743112.31420724,33,0.9999999999904478
69,-114743112.31391875,32,0.9999999999879335
70,-114743112.31313516,32,0.9999999999811044
71,-114743112.31401347,36,0.999999999988759
72,-114743112.31430463,38,0.9999999999912965
73,-114743112.31434056,33,0.9999999999916096
74,-114743112.31397067,28,0.999999999988386
75,-114743112.31436081,32,0.9999999999917861
76,-114743112.31452867,33,0.9999999999932491
77,-114743112.31342766,38,0.9999999999836536
78,-114743112.31457406,37,0.9999999999936446
79,-114743112.31376961,36,0.9999999999866337
80,-114743112.31436081,37,0.9999999999917861
81,-114743112.31333351,29,0.9999999999828331
82,-114743112.31316799,33,0.9999999999813906
83,-114743112.31385204,29,0.9999999999873521
84,-114743112.31391335,34,0.9999999999878865
85,-114743112.31440043,37,0.9999999999921314
86,-114743112.31423704,34,0.9999999999907074
87,-114743112.31330265,29,0.9999999999825642
88,-114743112.31440188,35,0.9999999999921441
89,-114743112.31401297,33,0.9999999999887547
90,-114743112.31439927,33,0.9999999999921213
91,-114743112.31436081,36,0.9999999999917861
92,-114743112.31391694,36,0.9999999999879177
93,-114743112.31418265,26,0.9999999999902335
94,-114743112.3142775,33,0.99999999999106
95,-114743112.3139151,34,0.9999999999879018
96,-114743112.31439587,25,0.9999999999920918
97,-114743112.31429648,29,0.9999999999912255
98,-114743112.3134286,25,0.9999999999836617
99,-114743112.31414829,21,0.999999999989934
